transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes,is_valid,suspicious_amount,is_duplicate,invalid_sender_iban,invalid_receiver_iban,is_future
1349bf0e-1d73-4570-aa6a-512762f87216,2025-08-18 12:16:00,11873.2,SEK,SE8902IWYC64669423845053,SE8902NVPZ06971021222436,Sweden,Alingsås,Sweden,Karlstad,incoming,Subscription fee,True,False,False,False,False,True
fee61367-4e4c-4a83-9cb4-856757e65fb5,2025-09-09 14:29:00,21599.38,SEK,SE8902GDTV65148682209789,SE8902FXEO42999261877496,Sweden,Kalmar,Sweden,Landskrona,outgoing,,True,False,False,False,False,True
09224a4d-99f7-452d-aa87-fed2fde64ed5,2025-06-16 23:39:00,25449.58,SEK,SE8902PEZC68306534625963,SE8902XARM90172386742244,Sweden,Karlskoga,Sweden,Karlskrona,incoming,Reimbursement for travel,True,False,False,False,False,True
f5f85b7b-c1e7-4a09-8280-68629423997c,2025-11-11 18:51:00,34419.87,SEK,SE8902DGRO18476288845448,SE8902WDJE85359881297343,Sweden,Karlskrona,Sweden,Örnsköldsvik,incoming,,True,False,False,False,False,True
3124502d-f14f-424d-b7aa-37a4dd0ed10b,2025-07-30 08:29:00,19107.61,SEK,SE8902IQDI59898249098467,SE8902SVEX40095531093926,Sweden,Lidingö,Sweden,Göteborg,incoming,Salary payment,True,False,False,False,False,True
d5afd476-277b-4dc7-a9b7-9014877d9238,2025-06-09 14:04:00,22349.44,SEK,SE8902FUMK63947148705760,SE8902AORR62231578413137,Sweden,Karlskrona,Sweden,Norrköping,outgoing,Tax refund,True,False,False,False,False,True
0b320268-9bcb-43f8-b235-c1d422615046,2025-09-15 03:50:00,42282.86,SEK,SE8902KEUK66106098793775,SE8902TRVE47135720140849,Sweden,Jönköping,Sweden,Jönköping,incoming,Subscription fee,True,False,False,False,False,True
71efdfa6-0d46-42da-ae8c-6ece7ca3a915,2026-05-02 19:23:00,40497.04,SEK,SE8902QYSY81014676327000,SE8902DGRO18476288845448,Sweden,Östersund,Sweden,Borås,outgoing,Freelance project payment,True,False,False,False,False,True
e1c7d3a0-51d4-4d13-a11f-4fc5bbbd7b5f,2026-03-01 10:43:00,40124.85,SEK,SE8902OUYV90192199566077,SE8902FWBT85916441228504,Sweden,Sundsvall,Sweden,Sundsvall,outgoing,Freelance project payment,True,False,False,False,False,True
ef2d6d72-14c4-451c-b84c-73d17296a782,2025-08-08 05:12:00,22857.08,SEK,SE8902DYMK28727836359365,SE8902AXSS75904959058026,Sweden,Malmö,Sweden,Östersund,outgoing,Consulting fee,True,False,False,False,False,True
25d52231-b035-4d52-9408-ba6e5b61e16d,2025-10-07 20:15:00,27634.81,SEK,SE8902MURT68729362533248,SE8902MCFO49095808464569,Sweden,Jönköping,Sweden,Jönköping,outgoing,Insurance payout,True,False,False,False,False,True
3768d5f8-716c-4653-82e1-56463d994bda,2025-10-26 00:36:00,25724.37,SEK,SE8902AZSP13287899419402,SE8902QDDZ01493266009705,Sweden,Umeå,Sweden,Stockholm,outgoing,Tax refund,True,False,False,False,False,True
9b0f9187-785d-44e8-9baa-dec2c9a4fb96,2025-05-30 02:36:00,47478.18,SEK,SE8902QBFU77974903239810,SE8902XFGN05965642065136,Sweden,Uddevalla,Sweden,Växjö,outgoing,Rent transfer,True,False,False,False,False,True
c1277293-4e07-40c7-abf4-ef408191b4b8,2026-01-09 23:13:00,40243.21,SEK,SE8902BRZE40142159892187,SE8902WATX62152063702344,Sweden,Skövde,Sweden,Malmö,incoming,Insurance payout,True,False,False,False,False,True
83bc6659-fa93-4f4e-95d1-b22bbc798973,2026-02-27 17:10:00,14110.36,SEK,SE8902QVRD43136737091818,SE8902TBKW34062991571482,Sweden,Örebro,Sweden,Lidköping,incoming,Utility bill,True,False,False,False,False,True
66110607-6234-4d41-9b8a-366e63946460,2026-01-11 12:23:00,28707.62,SEK,SE8902IEHG40560196591529,SE8902QASC32307460643773,Sweden,Västerås,Sweden,Linköping,outgoing,Subscription fee,True,False,False,False,False,True
1eaae48f-041c-4599-9b4f-5694d8b86bf3,2025-10-16 14:55:00,9529.51,SEK,SE8902FEOU83301563734443,SE8902TMSX38474464548691,Sweden,Mölndal,Sweden,Örnsköldsvik,outgoing,Rent transfer,True,False,False,False,False,True
3d8a0d38-586a-457d-b81e-2160c81fde7b,2025-08-29 00:49:00,14495.44,SEK,SE8902XXCG81260198384509,SE8902QNMM99008031804359,Sweden,Linköping,Sweden,Mölndal,incoming,Subscription fee,True,False,False,False,False,True
106b2f3a-35b7-442a-8e04-3ec56904a8f2,2025-11-23 14:48:00,8646.55,SEK,SE8902TKRB93799625518098,SE8902BADO65968898453667,Sweden,Norrköping,Sweden,Sandviken,incoming,Mobile recharge,True,False,False,False,False,True
c317678e-6430-4e69-a19b-c7092e5d12d1,2025-10-03 16:01:00,45299.33,SEK,SE8902PZCI77761871178523,SE8902OYYC26878073615803,Sweden,Trelleborg,Sweden,Kalmar,outgoing,Consulting fee,True,False,False,False,False,True
e6570e92-1082-448b-82b0-6755c92b10b5,2025-10-24 03:55:00,41183.59,SEK,SE8902MDRR93436036363613,SE8902JBML23966854830022,Sweden,Borlänge,Sweden,Norrköping,outgoing,Consulting fee,True,False,False,False,False,True
3a3be5d9-f629-43f2-8fbd-43c343b28260,2026-04-09 05:01:00,16735.98,SEK,SE8902UUTG33531545423098,SE8902EQCK63728076800609,Sweden,Ängelholm,Sweden,Helsingborg,outgoing,Online purchase,True,False,False,False,False,True
